year,media_type,is_prime_time,male_duration,female_duration,music_duration,nb_observations,total_speech_duration,female_speech_rate
1995,radio,False,11997030.36,4020051.32,8002248.5,6932,16017081.68,0.250985
1995,radio,True,2943781.86,731564.62,1389617.04,1450,3675346.48,0.199046
1996,radio,False,12396938.16,4236130.74,8011349.7,7107,16633068.9,0.254681
1996,radio,True,3049246.02,773675.0800000001,1315043.98,1471,3822921.1,0.202378
1997,radio,False,12543016.700000001,4210059.78,7597731.04,7050,16753076.48,0.251301
1997,radio,True,2929817.04,721033.54,1217620.52,1402,3650850.58,0.197497
1998,radio,False,12742928.540000001,4237520.0600000005,7605135.82,7072,16980448.6,0.249553
1998,radio,True,2928763.64,762548.8,1245444.34,1409,3691312.4400000004,0.206579
1999,radio,False,12805513.24,4507881.0200000005,8215838.600000001,7320,17313394.26,0.26037
1999,radio,True,2940133.3600000003,904608.92,1311571.32,1467,3844742.2800000003,0.235285
2000,radio,False,14971859.360000001,5604608.22,9056657.7,8462,20576467.580000002,0.27238
2000,radio,True,3336421.96,1166620.46,1170149.98,1606,4503042.42,0.259074
2001,radio,False,25325059.72,9002573.46,20952582.04,15660,34327633.18,0.262254
2001,radio,True,5664055.54,1755678.0,2843260.98,2896,7419733.54,0.236623
2002,radio,False,25842623.42,9451933.52,24961556.14,17042,35294556.94,0.267801
2002,radio,True,6024485.58,1952100.24,3511619.66,3239,7976585.82,0.244729
2003,radio,False,28604640.02,10508833.94,40331891.980000004,22375,39113473.96,0.268676
2003,radio,True,6562967.0200000005,2324530.2600000002,5611906.18,4072,8887497.280000001,0.261551
2004,radio,False,28427338.380000003,10204174.26,39915968.660000004,22125,38631512.64,0.264141
2004,radio,True,6490326.46,2270758.98,5808115.22,4096,8761085.44,0.259187
2005,radio,False,28270681.580000002,9817284.52,41013586.34,22276,38087966.1,0.257753
2005,radio,True,6555489.94,2233099.52,6001691.24,4159,8788589.46,0.254091
2006,radio,False,28203022.88,10166362.62,39832748.24,22030,38369385.5,0.26496
2006,radio,True,6482532.24,2365348.7800000003,6156846.2,4219,8847881.02,0.267335
2007,radio,False,29134978.900000002,10352577.16,40113796.38,22426,39487556.06,0.262173
2007,radio,True,6490516.640000001,2583836.32,5995680.92,4235,9074352.96,0.284741
2008,radio,False,29556872.2,10776628.08,44799906.88,23972,40333500.28,0.267188
2008,radio,True,6716132.3,2702910.3000000003,6514864.5,4478,9419042.6,0.286962
2009,radio,False,31159044.96,11398601.200000001,50793606.160000004,26321,42557646.160000004,0.267839
2009,radio,True,7381478.78,3009436.42,7245459.34,4961,10390915.2,0.289622
2010,radio,False,31293218.26,12242279.74,51026544.6,26659,43535498.0,0.281202
2010,radio,True,7354944.0200000005,3022242.34,7143764.28,4928,10377186.36,0.291239
2010,tv,False,53909314.64,20690993.46,20163515.34,27398,74600308.1,0.277358
2010,tv,True,15056052.680000002,5309848.42,5378964.22,7421,20365901.1,0.260722
2011,radio,False,31292048.2,12341248.620000001,50486224.0,26505,43633296.82,0.28284
2011,radio,True,7435446.760000001,3095583.18,7288203.2,5001,10531029.940000001,0.293949
2011,tv,False,61351057.480000004,24968575.5,22781041.02,31534,86319632.98,0.289257
2011,tv,True,17219570.32,6529333.48,6224182.28,8645,23748903.8,0.274932
2012,radio,False,34113720.52,13325368.88,53977341.7,28511,47439089.400000006,0.280894
2012,radio,True,8175512.600000001,3290237.8600000003,7736574.04,5384,11465750.46,0.286962
2012,tv,False,59459967.84,25038260.38,21393377.34,30562,84498228.22,0.296317
2012,tv,True,16876488.48,6622242.58,5628859.3,8396,23498731.060000002,0.281813
2013,radio,False,34663069.52,14602150.360000001,55326429.9,29377,49265219.88,0.296399
2013,radio,True,7904519.600000001,3282291.28,7719716.0200000005,5299,11186810.88,0.293407
2013,tv,False,67317089.74000001,29112159.72,24355744.9,34815,96429249.46000001,0.301902
2013,tv,True,19001529.6,7669136.2,6431757.5,9533,26670665.8,0.287549
2014,radio,False,35478086.44,14992634.48,54190059.0,29394,50470720.92,0.297056
2014,radio,True,8343261.600000001,3635510.5,7353387.96,5420,11978772.100000001,0.303496
2014,tv,False,69561886.74,30070885.1,22275921.0,35155,99632771.84,0.301817
2014,tv,True,19249003.86,7711175.54,5907850.5,9468,26960179.4,0.286021
2015,radio,False,35772012.04,15314337.46,52898865.42,29223,51086349.5,0.299774
2015,radio,True,8495901.76,3713751.04,7125528.44,5418,12209652.8,0.304165
2015,tv,False,70229107.14,29644280.92,22120369.92,35199,99873388.06,0.296819
2015,tv,True,19374385.62,7419916.42,5926161.92,9410,26794302.04,0.276921
2016,radio,False,35620384.480000004,15844676.940000001,52039112.24,29156,51465061.42,0.307872
2016,radio,True,8927999.6,3995024.56,7040700.58,5610,12923024.16,0.30914
2016,tv,False,70683591.02,29116164.76,21634323.38,34910,99799755.78,0.291746
2016,tv,True,19540084.24,7422329.32,5886431.38,9420,26962413.56,0.275284
2017,radio,False,38350425.96,17484774.92,56425095.64,31537,55835200.88,0.31315
2017,radio,True,9397368.66,4233050.36,7463492.98,5911,13630419.02,0.310559
2017,tv,False,67369604.16,27991327.3,23024213.64,34029,95360931.46,0.29353
2017,tv,True,19240899.76,7086563.9,6183483.24,9321,26327463.660000004,0.26917
2018,radio,False,58553971.46,26756193.580000002,84166954.08,47587,85310165.04,0.313634
2018,radio,True,14565266.4,6474886.24,11249620.64,9045,21040152.64,0.30774
2018,tv,False,78016040.08,33977049.36,27187703.72,39985,111993089.44,0.303385
2018,tv,True,21952598.62,8984087.459999999,7327055.0,10967,30936686.08,0.290402
2019,radio,False,24344861.68,11399595.8,34803658.980000004,19810,35744457.480000004,0.318919
2019,radio,True,6191819.04,2613688.9,4469372.34,3717,8805507.94,0.296824
2019,tv,False,39844675.94,16843201.06,13303814.5,20098,56687877.0,0.297122
2019,tv,True,11088025.6,4511151.44,3531914.7,5487,15599177.04,0.289192
