annee,chaine,is_public_channel,women_expression_rate,speech_rate,nb_hours_analyzed,part_catastrophes,part_culture_loisirs,part_economie,part_education,part_environnement,part_faits_divers,part_histoire_hommages,part_international,part_justice,part_politique_france,part_sante,part_sciences_et_techniques,part_societe,part_sport
2010,Arte,True,28.142902344571496,71.72392187079983,1698.0,0.0397,0.3132,0.083,0.0084,0.0308,0.0085,0.0216,0.2722,0.0333,0.0295,0.0116,0.0118,0.1281,0.0082
2010,France 2,True,28.456111604983025,80.56821842235662,1690.0,0.0958,0.0924,0.0799,0.0269,0.0398,0.0355,0.0196,0.0968,0.0563,0.0794,0.0438,0.0133,0.2339,0.0866
2010,France 3,True,29.84379653499637,80.22053887490176,1725.0,0.0998,0.097,0.0692,0.0266,0.0445,0.0434,0.0188,0.1126,0.0622,0.0838,0.0449,0.0125,0.2137,0.0711
2010,M6,False,39.40278529924919,73.12395542636222,1719.0,0.0976,0.0949,0.0779,0.0298,0.0434,0.0625,0.016,0.0661,0.0601,0.0628,0.0439,0.0188,0.2211,0.1051
2010,TF1,False,32.37882301327677,74.81191141299223,1698.0,0.1144,0.1056,0.0723,0.028,0.0653,0.0432,0.0195,0.0607,0.0462,0.0711,0.0393,0.0195,0.2225,0.0924
2011,Arte,True,28.066214715552302,73.08511524773519,1698.0,0.0165,0.248,0.0775,0.0041,0.0384,0.006,0.0199,0.4309,0.0284,0.0159,0.01,0.0105,0.0893,0.0046
2011,France 2,True,30.60460090113992,81.090583877127,1626.0,0.0439,0.0747,0.1094,0.0314,0.0472,0.0492,0.0179,0.1826,0.0766,0.1048,0.0396,0.0147,0.1496,0.0584
2011,France 3,True,30.01198827972812,80.20647093456759,1637.0,0.0492,0.0748,0.1029,0.0247,0.0475,0.0635,0.0166,0.1719,0.0825,0.0961,0.0538,0.0185,0.1499,0.0482
2011,M6,False,39.040332951107935,72.39339220066218,1611.0,0.0489,0.1188,0.0873,0.0256,0.0437,0.0946,0.0121,0.1089,0.0841,0.0599,0.055,0.0187,0.1966,0.046
2011,TF1,False,34.654423904665926,73.88632824378615,1661.0,0.0535,0.1025,0.1085,0.026,0.0587,0.0518,0.0167,0.1487,0.0708,0.0742,0.0444,0.018,0.1568,0.0693
2012,Arte,True,29.943391866982537,74.54393091738838,1689.0,0.0086,0.1462,0.1135,0.0065,0.0286,0.0086,0.0215,0.4175,0.0412,0.0537,0.0084,0.0069,0.1317,0.007
2012,France 2,True,33.44531070623485,81.98232690720188,1613.0,0.047,0.0634,0.1338,0.0364,0.0378,0.0493,0.0181,0.0976,0.0399,0.1459,0.043,0.0168,0.2029,0.0683
2012,France 3,True,30.32065046860196,80.8354489689085,1636.0,0.0518,0.0728,0.1267,0.0281,0.0372,0.0629,0.0187,0.082,0.0567,0.1696,0.0458,0.0164,0.1709,0.0602
2012,M6,False,40.64356763937142,73.62134954606474,1639.0,0.054,0.1312,0.0895,0.0228,0.0273,0.0899,0.0195,0.0585,0.0569,0.1358,0.0473,0.0183,0.1894,0.0596
2012,TF1,False,35.93875193789674,74.02451890548149,1725.0,0.0571,0.1014,0.1162,0.0248,0.0464,0.0547,0.02,0.0794,0.0417,0.139,0.0371,0.0226,0.1686,0.0911
2013,Arte,True,27.587263045168143,76.14680819066665,1629.0,0.0129,0.1504,0.091,0.0056,0.0273,0.0079,0.0314,0.414,0.0598,0.0293,0.0143,0.008,0.1455,0.0028
2013,France 2,True,34.886430445098306,82.35102967412942,1640.0,0.0617,0.0877,0.1437,0.0315,0.0431,0.0481,0.0248,0.1099,0.0419,0.0735,0.0404,0.0212,0.2343,0.0382
2013,France 3,True,30.750683911432112,81.27753471533653,1658.0,0.0721,0.0702,0.135,0.031,0.0431,0.0621,0.0264,0.0998,0.0618,0.0812,0.0505,0.0161,0.2006,0.0503
2013,M6,False,40.7081581138044,74.80222871193092,1692.0,0.0608,0.1268,0.0944,0.0251,0.0255,0.0882,0.019,0.0998,0.0625,0.0644,0.0424,0.0197,0.2262,0.0452
2013,TF1,False,36.48438235413872,75.17402920369261,1658.0,0.0666,0.1164,0.1202,0.0301,0.0408,0.0498,0.0235,0.1136,0.0387,0.0757,0.0354,0.0208,0.1975,0.071
2014,Arte,True,29.091073469905787,78.60503825490137,1593.0,0.0204,0.1499,0.0563,0.0098,0.0231,0.0055,0.0326,0.4698,0.0411,0.0403,0.0254,0.0077,0.1121,0.0062
2014,France 2,True,35.0795758950855,85.6022644700427,1660.0,0.0698,0.0819,0.1381,0.023,0.0509,0.0319,0.031,0.1217,0.0477,0.0916,0.0365,0.0215,0.1937,0.0607
2014,France 3,True,30.01244270187177,82.86073645959404,1619.0,0.0783,0.0692,0.1203,0.0243,0.0507,0.0427,0.0363,0.0978,0.0675,0.0978,0.0548,0.0176,0.188,0.0548
2014,M6,False,41.17379630893965,76.44073396249213,1653.0,0.0758,0.1207,0.0884,0.0253,0.0311,0.0749,0.0163,0.0995,0.0713,0.0663,0.0453,0.0237,0.2056,0.0557
2014,TF1,False,36.73067839419855,78.59950557923912,1683.0,0.0759,0.1071,0.1057,0.0285,0.0549,0.0288,0.0262,0.1192,0.0463,0.0843,0.0341,0.0213,0.1629,0.1049
