year,station,women_expression_rate
1995,Médiane,24.82399091871768
1996,Médiane,24.75207051225808
1997,Médiane,25.403080728028662
1998,Médiane,24.67776146098679
1999,Médiane,26.61922038699293
2000,Médiane,26.86792739162213
2001,Médiane,25.008555805100908
2002,Médiane,26.593992144858035
2003,Médiane,26.46947073357163
2004,Médiane,25.60319286211759
2005,Médiane,26.125757130707974
2006,Médiane,26.901556553562035
2007,Médiane,26.78896714794213
2008,Médiane,27.194200109877787
2009,Médiane,28.81950502578641
2010,Médiane,29.42152760986765
2011,Médiane,28.794778409671974
2012,Médiane,29.34799933704885
2013,Médiane,29.36605235849041
2014,Médiane,31.190678445554816
2015,Médiane,31.12034338764448
2016,Médiane,32.590165533209586
2017,Médiane,34.0340717506062
2018,Médiane,34.390612590538204
2019,Médiane,34.34310229103097
2001,Médiane privé,24.7784173871034
2002,Médiane privé,26.88132212021077
2003,Médiane privé,27.0558587324233
2004,Médiane privé,26.144163026359845
2005,Médiane privé,25.02370375921277
2006,Médiane privé,26.415707940595908
2007,Médiane privé,26.00861783436179
2008,Médiane privé,26.29679839844971
2009,Médiane privé,25.85674590641931
2010,Médiane privé,28.466356860414805
2011,Médiane privé,28.042712181069323
2012,Médiane privé,28.241974587573623
2013,Médiane privé,29.56872039604832
2014,Médiane privé,29.295284748904496
2015,Médiane privé,28.902194111730097
2016,Médiane privé,32.775067308059626
2017,Médiane privé,33.45652229786941
2018,Médiane privé,33.80672906493735
2019,Médiane privé,33.54892900920649
1995,Médiane public,24.82399091871768
1996,Médiane public,24.75207051225808
1997,Médiane public,25.403080728028662
1998,Médiane public,24.67776146098679
1999,Médiane public,26.61922038699293
2000,Médiane public,26.86792739162213
2001,Médiane public,25.49253930555242
2002,Médiane public,26.593992144858035
2003,Médiane public,25.75487367355191
2004,Médiane public,25.60319286211759
2005,Médiane public,26.197003671871663
2006,Médiane public,27.53781088759956
2007,Médiane public,28.21247735690768
2008,Médiane public,29.66743030548722
2009,Médiane public,28.925561358158376
2010,Médiane public,29.993973470770094
2011,Médiane public,30.206993209042245
2012,Médiane public,29.572952232148587
2013,Médiane public,29.36605235849041
2014,Médiane public,32.50758038805748
2015,Médiane public,33.84550392296675
2016,Médiane public,32.590165533209586
2017,Médiane public,34.0340717506062
