year,media_type,media_name,women_expression_rate,rang,nb_medias,quartile
1995,radio,France Musique,33.81679238499137,1,4,1
1995,radio,France Culture,26.493306730156824,2,4,2
1995,radio,France Inter,23.154675107278536,3,4,3
1995,radio,France Info,21.08456272131261,4,4,4
1996,radio,France Musique,32.18476890587846,1,4,1
1996,radio,France Culture,26.45951220838969,2,4,2
1996,radio,France Inter,23.044628816126465,3,4,3
1996,radio,France Info,22.31983725539606,4,4,4
1997,radio,France Culture,26.71737872779885,1,4,1
1997,radio,France Musique,26.59674704756677,2,4,2
1997,radio,France Inter,24.20941440849056,3,4,3
1997,radio,France Info,21.428715132779423,4,4,4
1998,radio,France Culture,26.568255124270163,1,4,1
1998,radio,France Inter,24.683776842462983,2,4,2
1998,radio,France Musique,24.6717460795106,3,4,3
1998,radio,France Info,21.68207349955528,4,4,4
1999,radio,France Culture,27.04228562033844,1,4,1
1999,radio,France Inter,26.89423034142486,2,4,2
1999,radio,France Musique,26.344210432561,3,4,3
1999,radio,France Info,23.0463198417795,4,4,4
2000,radio,France Bleu,38.311947336877175,1,6,1
2000,radio,RFI,29.21668085924457,2,6,1
2000,radio,France Musique,27.1923856622358,3,6,2
2000,radio,France Culture,26.54346912100846,4,6,3
2000,radio,France Info,25.447945975599907,5,6,4
2000,radio,France Inter,25.435155384077795,6,6,4
2001,radio,France Bleu,34.63646580056023,1,12,1
2001,radio,RFI,29.421712151422746,2,12,1
2001,radio,Nostalgie,27.59088150908976,3,12,1
2001,radio,RTL,26.436943538672,4,12,2
2001,radio,France Inter,25.80243326412516,5,12,2
2001,radio,France Info,25.182645346979683,6,12,2
2001,radio,Fun Radio,24.834466263222133,7,12,3
2001,radio,RMC,24.72236851098466,8,12,3
2001,radio,France Culture,24.517416671579248,9,12,3
2001,radio,Europe 1,22.05185238955888,10,12,4
2001,radio,France Musique,18.82817609494691,11,12,4
2001,radio,Skyrock,18.28415949068026,12,12,4
2002,radio,Chérie FM,47.10994424236209,1,14,1
2002,radio,RFM,33.46871278467056,2,14,1
2002,radio,France Bleu,32.046099174249214,3,14,1
2002,radio,RTL 2,31.176975476418605,4,14,1
2002,radio,RFI,29.53184171569163,5,14,2
2002,radio,RTL,28.318784660128426,6,14,2
2002,radio,France Inter,27.00359169957173,7,14,2
2002,radio,France Info,26.18439259014434,8,14,3
2002,radio,RMC,25.44385958029311,9,14,3
2002,radio,France Culture,24.64711943967361,10,14,3
2002,radio,Europe 1,24.267006847306977,11,14,4
2002,radio,NRJ,19.871312881960137,12,14,4
2002,radio,Skyrock,18.91632559094845,13,14,4
2002,radio,France Musique,16.842350781665907,14,14,4
2003,radio,Chérie FM,46.03444471353921,1,16,1
2003,radio,France Bleu,34.28120288252227,2,16,1
2003,radio,RFM,34.19015928982982,3,16,1
2003,radio,RTL 2,31.045340884394967,4,16,1
2003,radio,Nostalgie,30.691771681964,5,16,2
2003,radio,RFI,28.73727232135224,6,16,2
2003,radio,RTL,27.393142587169933,7,16,2
2003,radio,Europe 1,26.718574877676662,8,16,2
2003,radio,France Inter,26.2203665894666,9,16,3
2003,radio,RMC,25.620971374595484,10,16,3
2003,radio,France Culture,25.289380757637225,11,16,3
2003,radio,France Info,25.012043327389293,12,16,3
2003,radio,Fun Radio,22.530317885941948,13,16,4
2003,radio,NRJ,20.749310680765447,14,16,4
2003,radio,Skyrock,18.795643039554346,15,16,4
2003,radio,France Musique,18.30660805871937,16,16,4
2004,radio,Chérie FM,48.38360747099728,1,16,1
2004,radio,France Bleu,37.53233189187671,2,16,1
2004,radio,RFM,33.52603169821008,3,16,1
2004,radio,RTL 2,33.33399871769509,4,16,1
2004,radio,Nostalgie,29.05552763700889,5,16,2
2004,radio,RFI,28.670031809983143,6,16,2
2004,radio,RTL,27.426054793172,7,16,2
2004,radio,France Inter,26.15454582566276,8,16,2
2004,radio,France Info,25.05183989857242,9,16,3
2004,radio,RMC,24.86227125954769,10,16,3
2004,radio,France Culture,24.789654757917123,11,16,3
2004,radio,Europe 1,23.68498124562516,12,16,3
2004,radio,NRJ,21.291824144384123,13,16,4
2004,radio,Fun Radio,21.01982244811963,14,16,4
2004,radio,Skyrock,17.614834713633126,15,16,4
2004,radio,France Musique,15.829068977565376,16,16,4
2005,radio,Chérie FM,45.45162674591405,1,16,1
2005,radio,France Bleu,37.85389362786568,2,16,1
2005,radio,RFM,36.90578263966727,3,16,1
2005,radio,RTL 2,33.10641279378454,4,16,1
2005,radio,RFI,30.8267194893976,5,16,2
2005,radio,Nostalgie,27.86991268134366,6,16,2
2005,radio,France Info,26.5150048286044,7,16,2
2005,radio,RTL,26.372511746277016,8,16,2
2005,radio,France Inter,25.87900251513894,9,16,3
2005,radio,France Culture,23.79815539043309,10,16,3
2005,radio,Europe 1,23.67489577214853,11,16,3
2005,radio,NRJ,21.009304528212656,12,16,3
2005,radio,France Musique,20.66084414630152,13,16,4
2005,radio,RMC,19.758080932435888,14,16,4
2005,radio,Fun Radio,18.847856946018005,15,16,4
2005,radio,Skyrock,18.17789463257266,16,16,4
2006,radio,Chérie FM,47.81930725989837,1,16,1
2006,radio,France Bleu,43.837265045054224,2,16,1
2006,radio,Fun Radio,32.00736273723482,3,16,1
2006,radio,RFI,31.27587693748129,4,16,1
2006,radio,RTL 2,31.207055875297403,5,16,2
2006,radio,Nostalgie,28.68837449831111,6,16,2
2006,radio,France Info,28.191196548932005,7,16,2
2006,radio,RFM,26.918687880856947,8,16,2
2006,radio,France Inter,26.884425226267123,9,16,3
2006,radio,RTL,25.912728000334862,10,16,3
2006,radio,Europe 1,25.4322486717997,11,16,3
2006,radio,France Culture,25.00990892120149,12,16,3
2006,radio,NRJ,22.169085680155604,13,16,4
2006,radio,France Musique,21.957978366713423,14,16,4
2006,radio,Skyrock,20.04539220639501,15,16,4
2006,radio,RMC,18.25123681966485,16,16,4
2007,radio,Chérie FM,43.94302035045671,1,16,1
2007,radio,France Bleu,42.53087071010711,2,16,1
2007,radio,RTL 2,38.28493128652301,3,16,1
2007,radio,RFI,31.98765769161585,4,16,1
2007,radio,Fun Radio,28.665868349418723,5,16,2
2007,radio,France Inter,28.304854818782232,6,16,2
2007,radio,France Info,28.120099895033125,7,16,2
2007,radio,RFM,26.969256688388267,8,16,2
2007,radio,France Culture,26.608677607496,9,16,3
2007,radio,Nostalgie,26.029041632193618,10,16,3
2007,radio,Europe 1,25.98819403652996,11,16,3
2007,radio,RTL,24.10304828471861,12,16,3
2007,radio,France Musique,21.99835763046493,13,16,4
2007,radio,NRJ,20.842509905237712,14,16,4
2007,radio,Skyrock,20.13689204828235,15,16,4
2007,radio,RMC,17.837473822658087,16,16,4
2008,radio,Chérie FM,51.39922002110472,1,17,1
2008,radio,RTL 2,43.20330209880645,2,17,1
2008,radio,France Bleu,39.82230812961607,3,17,1
2008,radio,RFI,31.152299036925346,4,17,1
2008,radio,France Inter,29.782164095472584,5,17,2
2008,radio,France Info,29.552696515501854,6,17,2
2008,radio,Nostalgie,28.58466229370637,7,17,2
2008,radio,RFM,27.52984881585331,8,17,2
2008,radio,France Culture,27.194200109877787,9,17,3
2008,radio,Fun Radio,26.688679801245808,10,17,3
2008,radio,Europe 1,26.29679839844971,11,17,3
2008,radio,RTL,23.988117434339053,12,17,3
