media_type,media_name,year,women_expression_rate
radio,Chérie FM,2002,47.10994424236209
radio,Chérie FM,2003,46.03444471353921
radio,Chérie FM,2004,48.38360747099728
radio,Chérie FM,2005,45.45162674591405
radio,Chérie FM,2006,47.81930725989837
radio,Chérie FM,2007,43.94302035045671
radio,Chérie FM,2008,51.39922002110472
radio,Chérie FM,2009,49.95436887273718
radio,Chérie FM,2010,48.06286688394447
radio,Chérie FM,2011,47.83215331479781
radio,Chérie FM,2012,51.89108385882666
radio,Chérie FM,2013,54.11972166646552
radio,Chérie FM,2014,50.30261056149296
radio,Chérie FM,2015,51.22796481514281
radio,Chérie FM,2016,51.1705051341857
radio,Chérie FM,2017,53.087648830928735
radio,Chérie FM,2018,52.14109768273819
radio,Chérie FM,2019,48.675315574656416
radio,Europe 1,2001,22.05185238955888
radio,Europe 1,2002,24.267006847306977
radio,Europe 1,2003,26.718574877676662
radio,Europe 1,2004,23.68498124562516
radio,Europe 1,2005,23.67489577214853
radio,Europe 1,2006,25.4322486717997
radio,Europe 1,2007,25.98819403652996
radio,Europe 1,2008,26.29679839844971
radio,Europe 1,2009,24.83838793071237
radio,Europe 1,2010,26.79700518053025
radio,Europe 1,2011,28.042712181069323
radio,Europe 1,2012,30.1379807252296
radio,Europe 1,2013,32.343932012018655
radio,Europe 1,2014,31.06819366431403
radio,Europe 1,2015,32.081066642915346
radio,Europe 1,2016,33.94685205564997
radio,Europe 1,2017,36.80892490440637
radio,Europe 1,2018,39.15215807188105
radio,Europe 1,2019,40.37932999751301
radio,France Bleu,2000,38.311947336877175
radio,France Bleu,2001,34.63646580056023
radio,France Bleu,2002,32.046099174249214
radio,France Bleu,2003,34.28120288252227
radio,France Bleu,2004,37.53233189187671
radio,France Bleu,2005,37.85389362786568
radio,France Bleu,2006,43.837265045054224
radio,France Bleu,2007,42.53087071010711
radio,France Bleu,2008,39.82230812961607
radio,France Bleu,2009,41.65002752178754
radio,France Bleu,2010,38.13473376507523
radio,France Bleu,2011,37.97340246157834
radio,France Bleu,2012,36.4496427966828
radio,France Bleu,2013,35.32132791836533
radio,France Bleu,2014,33.41125517972196
radio,France Bleu,2015,34.78230197246604
radio,France Bleu,2016,38.11098556197102
radio,France Bleu,2017,39.01223452441084
radio,France Bleu,2018,36.64983585580104
radio,France Bleu,2019,37.21475103477449
radio,France Culture,1995,26.493306730156824
radio,France Culture,1996,26.45951220838969
radio,France Culture,1997,26.71737872779885
radio,France Culture,1998,26.568255124270163
radio,France Culture,1999,27.04228562033844
radio,France Culture,2000,26.54346912100846
radio,France Culture,2001,24.517416671579248
radio,France Culture,2002,24.64711943967361
radio,France Culture,2003,25.289380757637225
radio,France Culture,2004,24.789654757917123
radio,France Culture,2005,23.79815539043309
radio,France Culture,2006,25.00990892120149
radio,France Culture,2007,26.608677607496
radio,France Culture,2008,27.194200109877787
radio,France Culture,2009,26.558256618215754
radio,France Culture,2010,28.18504956297372
radio,France Culture,2011,29.61027366421729
radio,France Culture,2012,29.346335830450386
radio,France Culture,2013,29.36605235849041
radio,France Culture,2014,31.190678445554816
radio,France Culture,2015,31.12034338764448
radio,France Culture,2016,32.590165533209586
radio,France Culture,2017,35.058208610550764
radio,France Culture,2018,34.708221714908724
radio,France Culture,2019,34.789278609078
radio,France Info,1995,21.08456272131261
radio,France Info,1996,22.31983725539606
radio,France Info,1997,21.428715132779423
radio,France Info,1998,21.68207349955528
radio,France Info,1999,23.0463198417795
radio,France Info,2000,25.447945975599907
radio,France Info,2001,25.182645346979683
radio,France Info,2002,26.18439259014434
radio,France Info,2003,25.012043327389293
radio,France Info,2004,25.05183989857242
radio,France Info,2005,26.5150048286044
radio,France Info,2006,28.191196548932005
radio,France Info,2007,28.120099895033125
radio,France Info,2008,29.552696515501854
radio,France Info,2009,28.81950502578641
radio,France Info,2010,29.42152760986765
radio,France Info,2011,28.794778409671974
radio,France Info,2012,29.572952232148587
radio,France Info,2013,29.316371389487827
radio,France Info,2014,30.77337628415755
radio,France Info,2015,30.2176281599676
radio,France Info,2016,30.154921556146363
radio,France Info,2017,29.602137950545988
radio,France Info,2018,30.231738086433435
radio,France Info,2019,29.186492114868617
radio,France Inter,1995,23.154675107278536
radio,France Inter,1996,23.044628816126465
radio,France Inter,1997,24.20941440849056
radio,France Inter,1998,24.683776842462983
radio,France Inter,1999,26.89423034142486
radio,France Inter,2000,25.435155384077795
radio,France Inter,2001,25.80243326412516
radio,France Inter,2002,27.00359169957173
radio,France Inter,2003,26.2203665894666
radio,France Inter,2004,26.15454582566276
radio,France Inter,2005,25.87900251513894
radio,France Inter,2006,26.884425226267123
radio,France Inter,2007,28.304854818782232
radio,France Inter,2008,29.782164095472584
radio,France Inter,2009,29.031617690530343
radio,France Inter,2010,30.56641933167253
radio,France Inter,2011,33.140272270100255
radio,France Inter,2012,31.96567659964457
radio,France Inter,2013,31.25318742545518
radio,France Inter,2014,32.50758038805748
radio,France Inter,2015,34.48039058626382
radio,France Inter,2016,33.70817473792074
radio,France Inter,2017,32.89720348004199
radio,France Inter,2018,34.390612590538204
radio,France Inter,2019,34.34310229103097
radio,France Musique,1995,33.81679238499137
radio,France Musique,1996,32.18476890587846
radio,France Musique,1997,26.59674704756677
radio,France Musique,1998,24.6717460795106
radio,France Musique,1999,26.344210432561
radio,France Musique,2000,27.1923856622358
radio,France Musique,2001,18.82817609494691
radio,France Musique,2002,16.842350781665907
radio,France Musique,2003,18.30660805871937
radio,France Musique,2004,15.829068977565376
radio,France Musique,2005,20.66084414630152
radio,France Musique,2006,21.957978366713423
radio,France Musique,2007,21.99835763046493
radio,France Musique,2008,17.375895239630225
radio,France Musique,2009,17.938157216008218
radio,France Musique,2010,21.560080312900443
radio,France Musique,2011,24.40279213429492
radio,France Musique,2012,21.582666887417947
radio,France Musique,2013,28.54908529002147
radio,France Musique,2014,28.8065047088233
radio,France Musique,2015,26.74780732199707
radio,France Musique,2016,32.15934239367761
radio,France Musique,2017,35.98340748678462
radio,France Musique,2018,36.15610117001081
radio,France Musique,2019,37.9528529749255
radio,Fun Radio,2001,24.834466263222133
radio,Fun Radio,2003,22.530317885941948
radio,Fun Radio,2004,21.01982244811963
radio,Fun Radio,2005,18.847856946018005
radio,Fun Radio,2006,32.00736273723482
radio,Fun Radio,2007,28.665868349418723
radio,Fun Radio,2008,26.688679801245808
radio,Fun Radio,2009,28.96434349925046
radio,Fun Radio,2010,28.466356860414805
radio,Fun Radio,2011,28.114294352153664
radio,Fun Radio,2012,29.34799933704885
radio,Fun Radio,2013,27.45488885432129
radio,Fun Radio,2014,25.18603753227528
radio,Fun Radio,2015,28.036430465155338
radio,Fun Radio,2016,34.72051823082182
radio,Fun Radio,2017,35.99501203686068
radio,Fun Radio,2018,35.15081695140639
radio,Fun Radio,2019,35.1746139711973
radio,MOUV,2012,26.41302687957854
radio,MOUV,2013,27.58591539156864
radio,MOUV,2014,35.19966908822155
radio,MOUV,2015,35.46155208020755
radio,MOUV,2016,32.15796509592144
radio,MOUV,2017,26.287558878168856
radio,MOUV,2018,22.750424509879043
radio,MOUV,2019,22.448060471863585
radio,NRJ,2002,19.871312881960137
radio,NRJ,2003,20.749310680765447
radio,NRJ,2004,21.291824144384123
radio,NRJ,2005,21.009304528212656
radio,NRJ,2006,22.169085680155604
radio,NRJ,2007,20.842509905237712
radio,NRJ,2008,23.84381167072717
