mois,rubrique,nb_sujets,duree_totale_sec,part_dans_mois,part_annuelle,indice_saisonnalite
1,Catastrophes,4640,365737,0.0822,0.0536,1.534
2,Catastrophes,2635,187992,0.0464,0.0536,0.866
3,Catastrophes,2747,210431,0.0461,0.0536,0.86
4,Catastrophes,1744,128127,0.0295,0.0536,0.55
5,Catastrophes,2251,165588,0.0372,0.0536,0.694
6,Catastrophes,2540,187118,0.0464,0.0536,0.866
7,Catastrophes,3907,287713,0.0656,0.0536,1.224
8,Catastrophes,4508,333180,0.0766,0.0536,1.429
9,Catastrophes,3323,257374,0.0585,0.0536,1.091
10,Catastrophes,3224,249300,0.0563,0.0536,1.05
11,Catastrophes,2486,181273,0.0425,0.0536,0.793
12,Catastrophes,3121,239775,0.0551,0.0536,1.028
1,Culture-loisirs,3990,420115,0.0945,0.0917,1.031
2,Culture-loisirs,3707,397064,0.0979,0.0917,1.068
3,Culture-loisirs,3353,358283,0.0786,0.0917,0.857
4,Culture-loisirs,3250,356746,0.082,0.0917,0.894
5,Culture-loisirs,4257,450288,0.1011,0.0917,1.103
6,Culture-loisirs,3045,319507,0.0793,0.0917,0.865
7,Culture-loisirs,4087,445438,0.1015,0.0917,1.107
8,Culture-loisirs,3719,419474,0.0964,0.0917,1.051
9,Culture-loisirs,3649,399971,0.0909,0.0917,0.991
10,Culture-loisirs,3742,411705,0.0929,0.0917,1.013
11,Culture-loisirs,3295,358166,0.084,0.0917,0.916
12,Culture-loisirs,3977,436794,0.1005,0.0917,1.096
1,Economie,3909,375789,0.0845,0.0962,0.878
2,Economie,4504,446820,0.1102,0.0962,1.146
3,Economie,3579,348431,0.0764,0.0962,0.794
4,Economie,4026,399718,0.0919,0.0962,0.955
5,Economie,4086,402278,0.0903,0.0962,0.939
6,Economie,3575,343778,0.0853,0.0962,0.887
7,Economie,4292,430461,0.0981,0.0962,1.02
8,Economie,4748,482955,0.111,0.0962,1.154
9,Economie,4753,463718,0.1054,0.0962,1.096
10,Economie,4414,439303,0.0991,0.0962,1.03
11,Economie,4224,419892,0.0985,0.0962,1.024
12,Economie,4419,458897,0.1055,0.0962,1.097
1,Education,940,101993,0.0229,0.0235,0.974
2,Education,817,83878,0.0207,0.0235,0.881
3,Education,1048,104300,0.0229,0.0235,0.974
4,Education,893,92018,0.0212,0.0235,0.902
5,Education,1231,125050,0.0281,0.0235,1.196
6,Education,1477,147716,0.0367,0.0235,1.562
7,Education,669,62682,0.0143,0.0235,0.609
8,Education,1068,103978,0.0239,0.0235,1.017
9,Education,1475,157214,0.0357,0.0235,1.519
10,Education,868,95724,0.0216,0.0235,0.919
11,Education,839,83469,0.0196,0.0235,0.834
12,Education,638,66949,0.0154,0.0235,0.655
1,Environnement,2468,206715,0.0465,0.0451,1.031
2,Environnement,2099,179901,0.0444,0.0451,0.984
3,Environnement,2320,206237,0.0452,0.0451,1.002
4,Environnement,1628,142902,0.0329,0.0451,0.729
5,Environnement,1908,167267,0.0375,0.0451,0.831
6,Environnement,1953,174919,0.0434,0.0451,0.962
7,Environnement,2613,239564,0.0546,0.0451,1.211
8,Environnement,2703,255206,0.0587,0.0451,1.302
9,Environnement,1994,186749,0.0424,0.0451,0.94
10,Environnement,1831,167070,0.0377,0.0451,0.836
11,Environnement,2125,195999,0.046,0.0451,1.02
12,Environnement,2524,224291,0.0516,0.0451,1.144
1,Faits divers,2208,164714,0.037,0.0373,0.992
2,Faits divers,2003,151659,0.0374,0.0373,1.003
