year,chaine,women_expression_rate
2010,Médiane,28.456111604983025
2011,Médiane,28.699712001358265
2012,Médiane,30.30436119243677
2013,Médiane,30.029029149965247
2014,Médiane,30.54861700159104
2015,Médiane,30.55360313500899
2016,Médiane,30.99215140712861
2017,Médiane,30.75640161078624
2018,Médiane,31.78717799338086
2019,Médiane,32.88088234752422
2010,Médiane privé,29.061639988871637
2011,Médiane privé,28.137377593981626
2012,Médiane privé,30.30436119243677
2013,Médiane privé,29.597515725592167
2014,Médiane privé,30.734421099414085
2015,Médiane privé,29.246557655631925
2016,Médiane privé,28.94958015663284
2017,Médiane privé,28.2681477353969
2018,Médiane privé,29.404018440486663
2019,Médiane privé,31.13162002237535
2010,Médiane public,28.142902344571496
2011,Médiane public,29.35585014054319
2012,Médiane public,30.13202116779225
2013,Médiane public,30.4347110658079
2014,Médiane public,30.395366329916197
2015,Médiane public,31.31092120434641
2016,Médiane public,31.923476366727648
2017,Médiane public,34.14452999856359
2018,Médiane public,35.23982404219457
2019,Médiane public,36.59444859593734
2010,ARTE,28.142902344571496
2011,ARTE,28.066214715552302
2012,ARTE,29.943391866982537
2013,ARTE,27.587263045168143
2014,ARTE,29.091073469905787
2015,ARTE,28.28387072896389
2016,ARTE,28.257920895630477
2017,ARTE,29.860240687554477
2018,ARTE,31.1489534647153
2019,ARTE,32.8164656046445
2010,Animaux,25.90757253463454
2011,Animaux,31.552512597041616
2012,Animaux,34.93134825046644
2013,Animaux,33.73874583861331
2014,Animaux,33.90868510423651
2015,Animaux,36.77573977300372
2016,Animaux,36.56472560881775
2017,Animaux,37.68176151651506
2018,Animaux,40.99981927314211
2019,Animaux,38.53242393030715
2010,BFM TV,38.657280543057546
2011,BFM TV,36.92473806835565
2012,BFM TV,35.41850320222516
2013,BFM TV,35.81155320704737
2014,BFM TV,33.31911666090571
2015,BFM TV,33.62418908900725
2016,BFM TV,35.63226003561944
2017,BFM TV,36.05572270094781
2018,BFM TV,36.99559666529718
2019,BFM TV,34.23135499531699
2010,Canal+,21.51190904161979
2011,Canal+,22.158304388849643
2012,Canal+,22.350215675848027
2013,Canal+,23.414536181895937
2014,Canal+,22.12367299237239
2015,Canal+,21.536859698528914
2016,Canal+,22.0995672361379
2017,Canal+,22.01619694490687
2018,Canal+,22.485153691737544
2019,Canal+,22.70213656101075
2010,Canal+ Sport,5.972954239380663
2011,Canal+ Sport,5.532296190431669
2012,Canal+ Sport,5.211815278454215
2013,Canal+ Sport,4.9443778442181845
2014,Canal+ Sport,5.095775628337789
2015,Canal+ Sport,4.912640341606156
2016,Canal+ Sport,4.838224987026434
2017,Canal+ Sport,4.813465984423973
2018,Canal+ Sport,5.137714741650995
2019,Canal+ Sport,5.136650864163029
2010,Chasse et pêche,7.191762448544618
2011,Chasse et pêche,8.144226877239982
2012,Chasse et pêche,7.018203540222437
2013,Chasse et pêche,10.09888375973494
2014,Chasse et pêche,10.310288596580266
2015,Chasse et pêche,9.1497518738192
2016,Chasse et pêche,7.258912521098098
2017,Chasse et pêche,9.108982132264543
2018,Chasse et pêche,11.774427136755584
2019,Chasse et pêche,12.045818606364929
2013,Chérie 25,48.294389434096
2014,Chérie 25,48.91754597219619
2015,Chérie 25,37.3290454135079
2016,Chérie 25,41.837747247004245
2017,Chérie 25,41.67980215473349
2018,Chérie 25,39.983769271327006
2019,Chérie 25,39.85225212210074
2010,Comédie+,29.579478405274216
2011,Comédie+,28.137377593981626
2012,Comédie+,31.90628204885429
2013,Comédie+,29.255711371437528
2014,Comédie+,31.637882454413838
2015,Comédie+,29.697663464910995
2016,Comédie+,28.513473151209585
2017,Comédie+,26.18616224704205
2018,Comédie+,28.367153032273382
2019,Comédie+,33.66962522806119
2013,D8/C8,27.814514795834015
2014,D8/C8,31.14989815360672
2015,D8/C8,27.52428421354578
2016,D8/C8,26.15435137561892
2017,D8/C8,27.295338091357607
2018,D8/C8,28.3769902073018
2019,D8/C8,29.815084489420546
2010,Euronews,34.228341588704545
2011,Euronews,30.681695594316054
2012,Euronews,30.61316456008134
2013,Euronews,36.71865967351382
2014,Euronews,37.61037099669075
2015,Euronews,35.39343354962911
2016,Euronews,30.95794547236568
2017,Euronews,31.580819596300497
2018,Euronews,34.89162555702699
2019,Euronews,35.70667939178433
2010,Eurosport France,6.957224029147804
2011,Eurosport France,7.395577437648261
2012,Eurosport France,8.083346257603727
2013,Eurosport France,8.884800075111714
2014,Eurosport France,7.861017549127832
2015,Eurosport France,7.801830722783509
2016,Eurosport France,8.012118788909232
2017,Eurosport France,5.595861852588684
2018,Eurosport France,5.617468543657603
2019,Eurosport France,9.858520804381008
2010,France 2,28.456111604983025
2011,France 2,30.60460090113992
2012,France 2,33.44531070623485
2013,France 2,34.886430445098306
2014,France 2,35.0795758950855
2015,France 2,36.21095447112758
2016,France 2,33.92145412835245
2017,France 2,36.41515787899744
2018,France 2,37.24429925353736
2019,France 2,38.918406967043744
2011,France 24,43.79999051786408
2012,France 24,45.018032863354094
2013,France 24,43.82043031788675
2014,France 24,44.99147959145337
2015,France 24,44.44838479357293
2016,France 24,45.9338159004074
2017,France 24,44.64361657109559
